"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2024","2.329","2.267","2.350","2.249","129.72K","2.69%"
"07/11/2024","2.268","2.326","2.343","2.261","122.37K","-2.62%"
"07/10/2024","2.329","2.346","2.385","2.292","146.36K","-0.64%"
"07/09/2024","2.344","2.373","2.448","2.331","155.19K","-0.93%"
"07/08/2024","2.366","2.270","2.390","2.268","162.31K","2.03%"
"07/05/2024","2.319","2.421","2.440","2.315","156.54K","-2.19%"
"07/04/2024","2.371","2.429","2.440","2.335","33.66K","-1.94%"
"07/03/2024","2.418","2.466","2.480","2.410","125.89K","-0.70%"
"07/02/2024","2.435","2.476","2.484","2.415","154.26K","-1.74%"
"07/01/2024","2.478","2.576","2.602","2.471","181.93K","-4.73%"
"06/29/2024","2.601","2.601","2.601","2.601","","0.00%"
"06/28/2024","2.601","2.702","2.765","2.594","151.33K","-3.13%"
"06/27/2024","2.685","2.734","2.784","2.673","140.00K","2.17%"
"06/26/2024","2.628","2.737","2.746","2.613","1.56K","-4.64%"
"06/25/2024","2.756","2.816","2.844","2.699","78.23K","-1.96%"
"06/24/2024","2.811","2.670","2.834","2.635","45.42K","3.38%"
"06/22/2024","2.719","2.719","2.719","2.719","","0.52%"
"06/21/2024","2.705","2.725","2.770","2.672","79.37K","-1.31%"
"06/20/2024","2.741","2.903","2.948","2.723","186.69K","-6.00%"
"06/19/2024","2.916","2.907","2.929","2.860","38.05K","0.24%"
"06/18/2024","2.909","2.772","2.916","2.772","147.41K","4.34%"
"06/17/2024","2.788","2.846","2.848","2.759","152.24K","-3.23%"
"06/14/2024","2.881","2.921","3.000","2.870","154.12K","-2.64%"
"06/13/2024","2.959","3.028","3.091","2.898","209.73K","-2.82%"
"06/12/2024","3.045","3.130","3.132","2.995","224.80K","-2.68%"
"06/11/2024","3.129","2.985","3.159","2.966","227.82K","7.67%"
"06/10/2024","2.906","2.980","3.096","2.862","269.72K","-0.41%"
"06/07/2024","2.918","2.814","2.967","2.791","209.11K","3.44%"
"06/06/2024","2.821","2.762","2.877","2.724","194.24K","2.32%"
"06/05/2024","2.757","2.617","2.787","2.605","201.67K","6.61%"
"06/04/2024","2.586","2.772","2.829","2.573","221.92K","-6.17%"
"06/03/2024","2.756","2.645","2.799","2.628","233.69K","6.53%"
"05/31/2024","2.587","2.570","2.624","2.518","139.12K","0.58%"
"05/30/2024","2.572","2.662","2.682","2.562","160.06K","3.17%"
"05/29/2024","2.493","2.594","2.669","2.417","2.66K","-3.75%"
"05/28/2024","2.590","2.503","2.621","2.475","86.03K","3.52%"
